"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"35","https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eliasn97","510228840","12465","99063","40932","1252809","71256","true","false","German","eliasn97"
"36","https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdinRoss","249086460","4485","128427","55537","6533726","69214","true","false","English","AdinRoss"
"37","https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_coringa","222613680","5880","198645","37859","3532896","68787","true","false","Portuguese","loud_coringa"
"38","https://static-cdn.jtvnw.net/jtv_user_pictures/823b1a32-eb4e-425a-b1e6-48913ed58f1b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quackity","22871160","225","209422","101649","5055172","67638","true","false","English","Quackity"
"39","https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Castro_1021","186150060","7635","66926","24381","3603195","67001","true","false","English","Castro_1021"
"40","https://static-cdn.jtvnw.net/jtv_user_pictures/17a3e618-d192-4870-82e5-b55082289a2e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TenZ","77157480","3975","45168","19410","3103961","65584","true","false","English","TenZ"
"41","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","327150855","9210","147379","35521","2298204","64938","true","false","English","tarik"
"42","https://static-cdn.jtvnw.net/jtv_user_pictures/d7bab577-5fec-4ce7-9410-6bd46e0bce87-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kyedae","69867840","7155","16917","9764","1911778","64241","true","false","English","Kyedae"
"43","https://static-cdn.jtvnw.net/jtv_user_pictures/379a478b-c5a3-42c3-9dfc-47b391bc7835-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PapeSan","50687790","5745","23736","8822","233570","63900","true","false","French","PapeSan"
"44","https://static-cdn.jtvnw.net/jtv_user_pictures/b71dc71f-0343-4809-bb85-8d13236effb3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Shylily","82426635","11370","15401","7249","874212","63862","true","true","English","Shylily"
