"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"2635","https://static-cdn.jtvnw.net/jtv_user_pictures/cbfbe0ea-3176-4f94-8921-9580a63b4825-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AzizGaming","323265","5985","230","54","23923","3508","true","false","Turkish","AzizGaming"
"2636","https://static-cdn.jtvnw.net/jtv_user_pictures/fd7f5434-c96d-41dd-9d9b-f3eddb86a52a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GanaliSadatTV","1862835","10215","1167","182","137240","3507","true","true","Turkish","GanaliSadatTV"
"2637","https://static-cdn.jtvnw.net/jtv_user_pictures/3685ce16-41d5-4d56-a941-becb97300416-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DAZNES","942105","4380","737","215","16934","3501","true","false","Spanish","DAZNES"
"2638","https://static-cdn.jtvnw.net/jtv_user_pictures/a29d3775-538d-4975-b9aa-5699f50e2a5f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Smaczny","7346430","7035","4011","1044","86196","3500","true","true","Polish","Smaczny"
"2639","https://static-cdn.jtvnw.net/jtv_user_pictures/3cd21420-d4e1-48f3-8633-e62604a0e554-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DizzyDizaster","1809210","6585","7778","274","204342","3500","true","false","English","DizzyDizaster"
"2640","https://static-cdn.jtvnw.net/jtv_user_pictures/c99324d6-11b9-43bf-98c1-406ef9882f32-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","a_big_koko","3718935","6150","1344","604","8827","3499","false","false","English","a_big_koko"
"2641","https://static-cdn.jtvnw.net/jtv_user_pictures/ae9ab744-ea28-4b9b-86e9-89db23e4a871-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AbuSwe7l","2433975","2220","2481","1096","162323","3493","true","false","Arabic","AbuSwe7l"
"2642","https://static-cdn.jtvnw.net/jtv_user_pictures/2f62857a-5bbf-470f-bf25-acea83ccdc73-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","COREANOLOCOLIVE","333750","315","1851","1059","501518","3491","true","false","Spanish","COREANOLOCOLIVE"
"2643","https://static-cdn.jtvnw.net/user-default-pictures-uv/41780b5a-def8-11e9-94d9-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","clixtest1","846705","450","2777","1881","14097","3488","false","false","English","clixtest1"
"2644","https://static-cdn.jtvnw.net/jtv_user_pictures/8aae7c4e-05f5-4d4f-b49a-dc28f6099fbb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","나민님 (namin1004)","17200515","7260","3963","2369","209186","3488","true","false","Chinese","나민님 (namin1004)"
"2645","https://static-cdn.jtvnw.net/jtv_user_pictures/402d991a-5f5e-48ac-92d7-37ff07a141ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yaragtt","862035","8385","1345","102","18538","3485","false","true","Portuguese","yaragtt"
"2646","https://static-cdn.jtvnw.net/jtv_user_pictures/30d29cb2-f5f7-4b89-8a64-111572b31e15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kbek777","1371240","4140","3374","331","5473","3479","false","false","Other","kbek777"
"2647","https://static-cdn.jtvnw.net/jtv_user_pictures/92471b17-20ba-42e5-afff-6e26503bfd21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KamusLoL","2686560","9555","578","281","24944","3478","true","false","Portuguese","KamusLoL"
"2648","https://static-cdn.jtvnw.net/jtv_user_pictures/7ffdcfa6-a233-4eb5-9957-3c37bff3521d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MissLuuva","2721945","9690","433","280","21407","3478","false","true","German","MissLuuva"
"2649","https://static-cdn.jtvnw.net/jtv_user_pictures/6fb602be-89ef-4a79-9ace-0150407acfda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ipandarina","3532950","5220","2191","676","80273","3477","true","false","Spanish","ipandarina"
"2650","https://static-cdn.jtvnw.net/jtv_user_pictures/af7f2b6c-46a2-4bef-bb1a-2f26c62b4bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DJLINNY","551820","6105","396","90","6971","3475","false","false","English","DJLINNY"
"2651","https://static-cdn.jtvnw.net/jtv_user_pictures/e1247d16-314e-40d6-9e62-c788be1f3b6b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nalopia","3585090","3765","1878","952","278079","3475","true","false","English","Nalopia"
"2652","https://static-cdn.jtvnw.net/jtv_user_pictures/7f141762-1483-49e4-82a1-b5db8369a5c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","iltw1","9852765","4140","7729","2379","125816","3475","true","false","Russian","iltw1"
"2653","https://static-cdn.jtvnw.net/jtv_user_pictures/862f85a6-3611-4e85-95c1-3afed47fc05b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","clarityG","1976430","5820","833","339","119723","3474","true","false","English","clarityG"
"2654","https://static-cdn.jtvnw.net/jtv_user_pictures/f0f9a64a-ee48-448e-ad2a-213a78ffd568-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","nniru","7564200","5370","7464","1408","322387","3472","true","false","Japanese","nniru"
"2655","https://static-cdn.jtvnw.net/jtv_user_pictures/be840a99-46fa-4672-ac6c-537ab7c6b707-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","polsatgames","31705065","11445","12327","2770","261385","3467","true","false","Polish","polsatgames"
"2656","https://static-cdn.jtvnw.net/jtv_user_pictures/4ce6de5f-2041-4eb4-8d13-f1e155275c4e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Lily_Off_Valley","3463395","1335","4483","2594","326792","3467","true","false","English","Lily_Off_Valley"
"2657","https://static-cdn.jtvnw.net/jtv_user_pictures/70116f4e-37d0-4081-975a-94cbd716e40f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IZIDORE","1193640","13770","530","86","39069","3466","true","false","English","IZIDORE"
"2658","https://static-cdn.jtvnw.net/jtv_user_pictures/44758701-732c-48a8-abdc-1548048d8edb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cayo_cocoo","250965","5820","328","43","7771","3465","false","true","French","cayo_cocoo"
"2659","https://static-cdn.jtvnw.net/jtv_user_pictures/d7cabb8f-9063-4ac1-9e3e-a5795a61ade3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","highend_gamiing","169950","5025","77","33","3481","3461","false","false","Bulgarian","highend_gamiing"
"2660","https://static-cdn.jtvnw.net/jtv_user_pictures/8ee3d2a1-6979-4ace-9459-e37706f1a616-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LaMarmotaEspacial_","773850","3270","735","236","197826","3461","true","false","Spanish","LaMarmotaEspacial_"
"2661","https://static-cdn.jtvnw.net/jtv_user_pictures/71e7e531-044e-4c33-8fa4-8bfe907359db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","행돌 (hangdol99)","1253220","3990","635","314","30494","3461","true","false","Korean","행돌 (hangdol99)"
"2662","https://static-cdn.jtvnw.net/jtv_user_pictures/9c9552e9-141b-4da8-8574-b284520f2e90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","chiliproblema","1254870","6495","1041","193","29473","3459","true","false","Spanish","chiliproblema"
"2663","https://static-cdn.jtvnw.net/jtv_user_pictures/cdba17eb-8d35-4083-b328-ea95a373f802-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","akumaqqe","1124895","840","4269","1339","164851","3459","true","false","Russian","akumaqqe"
"2664","https://static-cdn.jtvnw.net/jtv_user_pictures/a10b288f-886d-4cc5-b406-9f42213dadb4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NiceWigg","23181870","7740","6629","2995","624173","3458","true","false","English","NiceWigg"
"2665","https://static-cdn.jtvnw.net/jtv_user_pictures/b18d56b8-26fb-41b3-aec3-a1d8724f00bb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9impulse","16386030","11835","3035","1384","115372","3458","true","false","Russian","9impulse"
"2666","https://static-cdn.jtvnw.net/jtv_user_pictures/58caf4f7-91f0-4661-8d74-ed00fad98c8f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gildersons","1694610","4995","2232","339","29236","3456","true","false","English","gildersons"
"2667","https://static-cdn.jtvnw.net/jtv_user_pictures/15190cff-45e1-4d76-ae03-1ddb9049bc77-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","EntreNosotros__","839700","2130","971","394","8328","3456","false","false","Spanish","EntreNosotros__"
"2668","https://static-cdn.jtvnw.net/jtv_user_pictures/3a7e51e8-7094-4d18-997b-9005a3579f4a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","mwzera","2756895","2385","5466","1155","123302","3456","true","false","Portuguese","mwzera"
"2669","https://static-cdn.jtvnw.net/jtv_user_pictures/273dc796-7f4d-4d60-94c8-861eae26a7e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","a1dan8992","5027280","10470","10574","480","35897","3453","true","false","English","a1dan8992"
"2670","https://static-cdn.jtvnw.net/jtv_user_pictures/7da25df0-318d-4811-a8a2-9e587c7c25c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bangsup_ch","151200","1155","722","130","5107","3453","false","false","Thai","bangsup_ch"
"2671","https://static-cdn.jtvnw.net/jtv_user_pictures/6f6842e4-d6e6-4b37-9a7f-e52c7119ac31-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LeyiiiN","267720","5295","118","50","112615","3452","true","true","German","LeyiiiN"
"2672","https://static-cdn.jtvnw.net/jtv_user_pictures/a27144c9-0c62-46e4-a7a8-9b51b394567a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","수련수련 (sooflower)","13278375","9060","3874","1465","415239","3452","true","false","Korean","수련수련 (sooflower)"
"2673","https://static-cdn.jtvnw.net/jtv_user_pictures/7b68f6a2-1316-47c9-98e6-4413dad16837-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","vitongemaplys","1846140","2280","1686","809","218193","3451","true","false","Portuguese","vitongemaplys"
"2674","https://static-cdn.jtvnw.net/jtv_user_pictures/5e4922b8-aa5d-4597-89e7-2d55063781e5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","mavisese","267825","2010","357","133","4645","3451","false","true","Turkish","mavisese"
"2675","https://static-cdn.jtvnw.net/jtv_user_pictures/a45aaf1f-a162-4a41-b887-ad81cc65d2c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","prostislavv","388035","6225","795","62","3880","3450","false","false","Russian","prostislavv"
"2676","https://static-cdn.jtvnw.net/jtv_user_pictures/5a788071-c20b-4bee-aee9-b3c271be18b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NeutrooYT","11738055","9495","2813","1236","366229","3449","true","false","Spanish","NeutrooYT"
"2677","https://static-cdn.jtvnw.net/jtv_user_pictures/4da8dc1c-dea2-4538-b1f5-d73c37b5d88d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SloppyWalrusX","1531920","6240","595","245","33724","3449","true","false","English","SloppyWalrusX"
"2678","https://static-cdn.jtvnw.net/jtv_user_pictures/e84af0ea-b18e-4652-b24a-6d5ba7a45037-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GGhosts_","661125","5025","214","131","4082","3447","false","false","English","GGhosts_"
"2679","https://static-cdn.jtvnw.net/jtv_user_pictures/6cadbaf3-ffdf-4e6c-8629-2a54ad250193-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GnomonkeyRS","7387035","15855","1642","465","10146","3447","true","false","English","GnomonkeyRS"
"2680","https://static-cdn.jtvnw.net/jtv_user_pictures/0693a700-371a-4253-8c2e-6cf1b37d7e00-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DotaTV247","12312030","40305","1001","305","136617","3447","true","false","English","DotaTV247"
"2681","https://static-cdn.jtvnw.net/jtv_user_pictures/90c114b4-7653-4f4d-8957-0a84a820e484-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Sekiam","3023925","3045","3925","993","187542","3446","true","false","Spanish","Sekiam"
"2682","https://static-cdn.jtvnw.net/jtv_user_pictures/94000a19-a7c1-4559-af56-3fec4c8fd56b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ToxiicRP","991650","9735","441","101","36714","3446","false","false","Portuguese","ToxiicRP"
"2683","https://static-cdn.jtvnw.net/jtv_user_pictures/d7f2c00b-ec6c-4229-b6df-a1f358d4640b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elizabethvasilenko","309045","1620","414","190","5112","3445","false","false","Russian","elizabethvasilenko"
"2684","https://static-cdn.jtvnw.net/jtv_user_pictures/531614e7-f74d-4d23-ad99-438baed8e79f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mastaa","521700","1425","1262","366","66398","3445","true","true","French","Mastaa"
"2685","https://static-cdn.jtvnw.net/jtv_user_pictures/d0be43c8-495a-4ed0-a3e9-b2f08677222f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Targamas1","3177120","1785","5010","1779","121360","3444","true","false","French","Targamas1"
"2686","https://static-cdn.jtvnw.net/jtv_user_pictures/4364a8c3-1ff6-4c64-834f-9f8572fac1e2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Peereira7","5967195","12030","2054","496","997004","3443","true","false","Spanish","Peereira7"
"2687","https://static-cdn.jtvnw.net/jtv_user_pictures/72d3bd8d-e1ac-489d-96f0-7edc7db937fa-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Jiozi","2372865","3315","1471","715","463490","3442","true","false","Italian","Jiozi"
"2688","https://static-cdn.jtvnw.net/jtv_user_pictures/varsitygaming-profile_image-faa27fdb669598c0-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VarsityGaming","2135205","5055","1080","422","577072","3440","true","false","English","VarsityGaming"
"2689","https://static-cdn.jtvnw.net/jtv_user_pictures/2557f240-0a37-4786-982a-463e29e8f0a5-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","KyoKanek0","312120","525","881","594","10596","3440","false","false","English","KyoKanek0"
"2690","https://static-cdn.jtvnw.net/jtv_user_pictures/3dc4d24c-d78a-4809-bad1-7e88283c64e3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tvlabs","11107410","38775","593","286","4157","3438","false","true","Russian","tvlabs"
"2691","https://static-cdn.jtvnw.net/jtv_user_pictures/6560dd77-36fc-4b47-bd2c-25c0117e4e08-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cogu","5439990","12495","4218","435","186145","3437","false","false","Portuguese","cogu"
"2692","https://static-cdn.jtvnw.net/jtv_user_pictures/a1fdbb3d-f8fe-4570-b448-c042815b21eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kikettestar","506610","4710","258","107","12677","3436","true","true","French","Kikettestar"
"2693","https://static-cdn.jtvnw.net/jtv_user_pictures/24d88a4a-3efd-428a-9c51-9df5b4e556ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RoomieOfficial","725700","1620","672","447","23449","3436","false","false","English","RoomieOfficial"
"2694","https://static-cdn.jtvnw.net/jtv_user_pictures/269a1dda-6a1b-4486-b421-def2589a37df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","viptoriaaa","266475","450","1473","592","18375","3436","false","false","English","viptoriaaa"
"2695","https://static-cdn.jtvnw.net/jtv_user_pictures/b7ca3cf3-2a5f-40c4-8ea3-86c49345ad23-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alex96er","919830","6450","1280","142","9070","3432","false","true","German","alex96er"
"2696","https://static-cdn.jtvnw.net/jtv_user_pictures/e486d6cc-fd19-4bcd-b9ec-4016fed6e938-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elbauldejaime","1924995","14010","370","137","10655","3431","false","false","Spanish","elbauldejaime"
"2697","https://static-cdn.jtvnw.net/jtv_user_pictures/01a55c38-7fdb-4928-839e-2fc4bfc68673-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gwendoceline","4452780","10860","1415","410","65521","3428","true","false","German","gwendoceline"
"2698","https://static-cdn.jtvnw.net/jtv_user_pictures/6c855b45-3699-4598-acaa-e3eb0eceb50e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","southparklatino24h","6128700","20400","770","300","4025","3428","false","false","Spanish","southparklatino24h"
"2699","https://static-cdn.jtvnw.net/jtv_user_pictures/4602139f-0220-4c07-8ee0-23ed63cef8df-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","its_zanos","924345","6495","266","142","72872","3427","true","false","Spanish","its_zanos"
"2700","https://static-cdn.jtvnw.net/jtv_user_pictures/38f18f73-936f-46d4-a4f4-71995c0deac9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DechartGames","1805910","2715","1116","665","464465","3427","true","true","English","DechartGames"
